id,key,value,type
644169,ele,31.380127,regular
644169,time,2006-03-18T16:45:21Z,regular
644170,ele,33.302856,regular
644170,time,2006-03-18T16:45:28Z,regular
644171,ele,32.341553,regular
644171,time,2006-03-18T16:45:38Z,regular
644171,created_by,JOSM,regular
644172,ele,30.899536,regular
644172,time,2006-03-18T16:45:51Z,regular
644173,ele,30.418823,regular
644173,time,2006-03-18T16:45:57Z,regular
644174,ele,30.418823,regular
644174,time,2006-03-18T16:46:03Z,regular
644176,ele,36.667480,regular
644176,time,2006-03-18T16:46:35Z,regular
644177,ele,37.148071,regular
644177,time,2006-03-18T16:46:39Z,regular
644178,ele,38.109375,regular
644178,time,2006-03-18T16:46:57Z,regular
644178,created_by,JOSM,regular
644179,ele,39.070679,regular
645155,ele,38.109375,regular
645155,time,2006-03-18T23:45:54Z,regular
645156,ele,38.590088,regular
645156,time,2006-03-18T23:46:02Z,regular
645156,created_by,JOSM,regular
645157,ele,38.590088,regular
645157,time,2006-03-18T23:46:11Z,regular
645158,ele,36.667480,regular
645158,time,2006-03-18T23:46:27Z,regular
645159,ele,36.186768,regular
645159,time,2006-03-18T23:46:34Z,regular
645160,ele,34.744873,regular
645160,time,2006-03-18T23:46:47Z,regular
645161,ele,32.341553,regular
645161,time,2006-03-18T23:46:53Z,regular
645162,ele,31.860718,regular
645162,time,2006-03-18T23:46:58Z,regular
645162,created_by,JOSM,regular
645163,ele,32.341553,regular
645163,time,2006-03-18T23:47:03Z,regular
645163,created_by,JOSM,regular
645164,ele,31.860718,regular
645164,time,2006-03-18T23:47:10Z,regular
645164,created_by,JOSM,regular
645165,ele,31.860718,regular
645165,time,2006-03-18T23:47:17Z,regular
645166,ele,30.899536,regular
645166,time,2006-03-18T23:47:23Z,regular
645237,maxspeed,70,regular
645237,traffic_sign,maxspeed,regular
14802917,created_by,JOSM,regular
14802919,highway,crossing,regular
14802919,crossing,traffic_signals,regular
14802930,highway,traffic_signals,regular
14802937,highway,crossing,regular
14802937,crossing,traffic_signals,regular
14802938,created_by,JOSM,regular
14802941,highway,crossing,regular
